"Size of input","Insertion Sort","Merge Sort","Quicksort"
10,0.00146484,0.00366211,0.00439453
50,0.00415039,0.00927734,0.010498
100,0.0109863,0.0197754,0.0390625
200,0.0634766,0.036377,0.0334473
500,0.192383,0.128418,0.203125
1000,1.2395,0.26709,0.165771
2000,3.89819,0.397217,0.551025
5000,18.0439,0.99585,0.85083
7000,41.3193,1.07959,1.18408
10000,76.2119,1.79321,2.31274
20000,301.778,3.36646,4.6001
30000,642.089,5.1377,5.12036
40000,1230.25,8.5542,8.36865
50000,1851.02,8.6167,9.47021
60000,2637.29,11.0225,14.0251
70000,3406.39,11.9746,14.3479
80000,4646.36,14.1848,15.6089
90000,5611.16,19.9946,18.7478
100000,6917.61,20.1997,20.0256
